Brand,Brand_Style,Neighbor_Rk,Neighbor_Idx,Neighbor_Dist
Hamm's Special Light,American-Style Light Lager,2,91,15.024585798286294
Hamm's Special Light,American-Style Light Lager,3,218,15.040931707289527
Hamm's Special Light,American-Style Light Lager,4,50,15.27129522006454
Hamm's Special Light,American-Style Light Lager,5,34,15.938783828455126
Hamm's Special Light,American-Style Light Lager,6,211,16.518942469509128
Henry Weinhard's Blue Boar,American-Style Cream Ale,1,54,0
Henry Weinhard's Blue Boar,American-Style Cream Ale,2,211,14.903851085509055
Henry Weinhard's Blue Boar,American-Style Cream Ale,3,178,14.907475938306524
Henry Weinhard's Blue Boar,American-Style Cream Ale,4,170,14.913757650876263
Henry Weinhard's Blue Boar,American-Style Cream Ale,5,214,14.917892899974834
Henry Weinhard's Blue Boar,American-Style Cream Ale,6,18,14.925260081600134
Henry Weinhard's Private Reserve,American Pale Lager,1,55,0
Henry Weinhard's Private Reserve,American Pale Lager,2,52,0.5094869518574735
Henry Weinhard's Private Reserve,American Pale Lager,3,124,0.5336740646935902
Henry Weinhard's Private Reserve,American Pale Lager,4,182,0.5969007299099277
Henry Weinhard's Private Reserve,American Pale Lager,5,127,0.6310264079978852
Henry Weinhard's Private Reserve,American Pale Lager,6,86,0.8354857697485786
Henry's Hard Soda Hard Cherry Cola,Hard Soda,1,56,0
Henry's Hard Soda Hard Cherry Cola,Hard Soda,2,57,15.596677426919028
Henry's Hard Soda Hard Cherry Cola,Hard Soda,3,146,16.494549699804413
Henry's Hard Soda Hard Cherry Cola,Hard Soda,4,59,16.561028575941187
Henry's Hard Soda Hard Cherry Cola,Hard Soda,5,153,16.746249091686405
Henry's Hard Soda Hard Cherry Cola,Hard Soda,6,154,16.752733817700324
Henry's Hard Soda Hard Ginger Ale,Hard Soda,1,57,0
Henry's Hard Soda Hard Ginger Ale,Hard Soda,2,59,5.523853974744097
Henry's Hard Soda Hard Ginger Ale,Hard Soda,3,146,7.584134946494144
Henry's Hard Soda Hard Ginger Ale,Hard Soda,4,58,7.687212383600384
Henry's Hard Soda Hard Ginger Ale,Hard Soda,5,60,7.769570730218838
Henry's Hard Soda Hard Ginger Ale,Hard Soda,6,154,8.181300927105767
Henry's Hard Soda Hard Grape,Hard Soda,1,58,0
Henry's Hard Soda Hard Grape,Hard Soda,2,60,1.5257559328607564
Henry's Hard Soda Hard Grape,Hard Soda,3,59,5.7625034654796545
Henry's Hard Soda Hard Grape,Hard Soda,4,57,7.687212383600384
Henry's Hard Soda Hard Grape,Hard Soda,5,149,9.231608064430482
Henry's Hard Soda Hard Grape,Hard Soda,6,144,9.414368107865068
Henry's Hard Soda Hard Lemon Lime,Hard Soda,1,59,0
Henry's Hard Soda Hard Lemon Lime,Hard Soda,2,60,5.510341015144875
Henry's Hard Soda Hard Lemon Lime,Hard Soda,3,57,5.523853974744097
Henry's Hard Soda Hard Lemon Lime,Hard Soda,4,58,5.7625034654796545
Henry's Hard Soda Hard Lemon Lime,Hard Soda,5,192,8.354095186899945
Henry's Hard Soda Hard Lemon Lime,Hard Soda,6,146,8.940975435487031
Henry's Hard Soda Hard Orange,Hard Soda,1,60,0
Henry's Hard Soda Hard Orange,Hard Soda,2,58,1.5257559328607564
Henry's Hard Soda Hard Orange,Hard Soda,3,59,5.510341015144875
Henry's Hard Soda Hard Orange,Hard Soda,4,57,7.769570730218838
Henry's Hard Soda Hard Orange,Hard Soda,5,144,8.985737510163869
Henry's Hard Soda Hard Orange,Hard Soda,6,149,9.246564298256562
Henry's Hard Sparkling Blueberry Lemon,Spiked Sparkling Water,1,61,0
Henry's Hard Sparkling Blueberry Lemon,Spiked Sparkling Water,2,65,3.275889010680438
Henry's Hard Sparkling Blueberry Lemon,Spiked Sparkling Water,3,62,3.2759146685798135
Henry's Hard Sparkling Blueberry Lemon,Spiked Sparkling Water,4,126,9.58095692252741
Henry's Hard Sparkling Blueberry Lemon,Spiked Sparkling Water,5,88,9.588792236295895
Henry's Hard Sparkling Blueberry Lemon,Spiked Sparkling Water,6,33,9.588850049038065
Henry's Hard Sparkling Lemon Lime,Spiked Sparkling Water,1,62,0
Henry's Hard Sparkling Lemon Lime,Spiked Sparkling Water,2,65,0.22129094589462778
Henry's Hard Sparkling Lemon Lime,Spiked Sparkling Water,3,61,3.2759146685798135
Henry's Hard Sparkling Lemon Lime,Spiked Sparkling Water,4,126,9.007234270442265
Henry's Hard Sparkling Lemon Lime,Spiked Sparkling Water,5,33,9.013996614157753
Henry's Hard Sparkling Lemon Lime,Spiked Sparkling Water,6,88,9.015344456518754
Henry's Hard Sparkling Passion Fruit,Spiked Sparkling Water,1,63,0
Henry's Hard Sparkling Passion Fruit,Spiked Sparkling Water,2,66,0
Henry's Hard Sparkling Passion Fruit,Spiked Sparkling Water,3,64,0.11045539508712417
Henry's Hard Sparkling Passion Fruit,Spiked Sparkling Water,4,126,9.004192753119675
Henry's Hard Sparkling Passion Fruit,Spiked Sparkling Water,5,88,9.01252950812675
Henry's Hard Sparkling Passion Fruit,Spiked Sparkling Water,6,33,9.012591017401393
Henry's Hard Sparkling Peach Mango,Spiked Sparkling Water,1,64,0
Henry's Hard Sparkling Peach Mango,Spiked Sparkling Water,2,63,0.11045539508712417
Henry's Hard Sparkling Peach Mango,Spiked Sparkling Water,3,66,0.11045539508712417
Henry's Hard Sparkling Peach Mango,Spiked Sparkling Water,4,126,9.007579536526565
Henry's Hard Sparkling Peach Mango,Spiked Sparkling Water,5,33,9.014621347003757
Henry's Hard Sparkling Peach Mango,Spiked Sparkling Water,6,88,9.015913159873195
Henry's Hard Sparkling Pineapple,Spiked Sparkling Water,1,65,0
Henry's Hard Sparkling Pineapple,Spiked Sparkling Water,2,62,0.22129094589462778
Henry's Hard Sparkling Pineapple,Spiked Sparkling Water,3,61,3.275889010680438
Henry's Hard Sparkling Pineapple,Spiked Sparkling Water,4,126,9.002160071472918
Henry's Hard Sparkling Pineapple,Spiked Sparkling Water,5,88,9.010498707171752
Henry's Hard Sparkling Pineapple,Spiked Sparkling Water,6,33,9.011914139218172
Henry's Hard Sparkling Strawberry Kiwi,Spiked Sparkling Water,1,66,0
Henry's Hard Sparkling Strawberry Kiwi,Spiked Sparkling Water,2,66,0
Henry's Hard Sparkling Strawberry Kiwi,Spiked Sparkling Water,3,64,0.11045539508712417
Henry's Hard Sparkling Strawberry Kiwi,Spiked Sparkling Water,4,126,9.004192753119675
Henry's Hard Sparkling Strawberry Kiwi,Spiked Sparkling Water,5,88,9.01252950812675
Henry's Hard Sparkling Strawberry Kiwi,Spiked Sparkling Water,6,33,9.012591017401393
Private Reserve,Vienna-Style Lager,1,67,0
Private Reserve,Vienna-Style Lager,2,24,0.24569178453506388
Private Reserve,Vienna-Style Lager,3,3,0.312614025983176
Private Reserve,Vienna-Style Lager,4,26,0.38263643773493417
Private Reserve,Vienna-Style Lager,5,178,0.47941993996500026
Private Reserve,Vienna-Style Lager,6,174,0.4934930329590643
Hop Valley Alpha Centauri IPA,Imperial IPA,1,68,0
Hop Valley Alpha Centauri IPA,Imperial IPA,2,69,1.6818884606672455
Hop Valley Alpha Centauri IPA,Imperial IPA,3,30,1.962011647788047
Hop Valley Alpha Centauri IPA,Imperial IPA,4,171,2.1189417693195076
Hop Valley Alpha Centauri IPA,Imperial IPA,5,165,2.199175811200497
Hop Valley Alpha Centauri IPA,Imperial IPA,6,204,2.2665565722710515
Hop Valley Alphadelic IPA,IPA,1,69,0
Hop Valley Alphadelic IPA,IPA,2,171,0.5443878806673113
